央视,#genre#
CCTV-1 综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-2 财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-3 综艺,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-4 中文国际,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-4K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV-5 体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6 电影,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-7 国防军事,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-8 电视剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-8K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CCTV-9 纪录,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-10 科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-13 新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-14 少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV-15 音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001248/index.m3u8
CCTV-16 奥林匹克 4K,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV-17 农业农村,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8

CCTV-1 综合,http://lzoq.hk3c.ml/daili/?id=cctv1hd8m/8000000
CCTV-2 财经,http://lzoq.hk3c.ml/daili/?id=cctv2hd8m/8000000
CCTV-3 综艺,http://lzoq.hk3c.ml/daili/?id=cctv38m/8000000
CCTV-4 中文国际,http://lzoq.hk3c.ml/daili/?id=cctv4hd8m/8000000
CCTV-5 体育,http://lzoq.hk3c.ml/daili/?id=cctv58m/8000000
CCTV-5+ 体育赛事,http://lzoq.hk3c.ml/daili/?id=cctv5phd8m/8000000
CCTV-6 电影,http://lzoq.hk3c.ml/daili/?id=cctv6hd8m/8000000
CCTV-7 国防军事,http://lzoq.hk3c.ml/daili/?id=cctv7hd8m/8000000
CCTV-8 电视剧,http://lzoq.hk3c.ml/daili/?id=cctv8hd8m/8000000
CCTV-9 纪录,http://lzoq.hk3c.ml/daili/?id=cctv9hd8m/8000000
CCTV-10 科教,http://lzoq.hk3c.ml/daili/?id=cctv10hd8m/8000000
CCTV-11 戏曲,http://lzoq.hk3c.ml/daili/?id=cctv11hd8m/8000000
CCTV-12 社会与法,http://lzoq.hk3c.ml/daili/?id=cctv12hd8m/8000000
CCTV-13 新闻,http://lzoq.hk3c.ml/daili/?id=cctv13xwhd8m/8000000
CCTV-14 少儿,http://lzoq.hk3c.ml/daili/?id=cctvsehd8m/8000000
CCTV-15 音乐,http://lzoq.hk3c.ml/daili/?id=cctv15hd8m/8000000
CCTV-16 奥林匹克,http://lzoq.hk3c.ml/daili/?id=cctv16hd8m/8000000
CCTV-17 农业农村,http://lzoq.hk3c.ml/daili/?id=cctv17hd8m/8000000

卫视,#genre#
江苏卫视,http://lzoq.hk3c.ml/daili/?id=jswshd8m/8000000
广西卫视,http://lzoq.hk3c.ml/daili/?id=gxwshd8m/8000000
四川卫视,http://lzoq.hk3c.ml/daili/?id=scwshd/8000000
湖南卫视,http://lzoq.hk3c.ml/daili/?id=hunanwshd8m/8000000
浙江卫视,http://lzoq.hk3c.ml/daili/?id=zjwshd8m/8000000
东方卫视,http://lzoq.hk3c.ml/daili/?id=dfwshd8m/8000000
北京卫视,http://lzoq.hk3c.ml/daili/?id=bjwshd8m/8000000
天津卫视,http://lzoq.hk3c.ml/daili/?id=tjwshd8m/8000000
辽宁卫视,http://lzoq.hk3c.ml/daili/?id=lnwshd8m/8000000
安徽卫视,http://lzoq.hk3c.ml/daili/?id=ahwshd8m/8000000
黑龙江卫视,http://lzoq.hk3c.ml/daili/?id=hljwshd8m/8000000
广东卫视,http://lzoq.hk3c.ml/daili/?id=gdwshd8m/8000000
深圳卫视,http://lzoq.hk3c.ml/daili/?id=szwshd8m/8000000
湖北卫视,http://lzoq.hk3c.ml/daili/?id=hubeiws8m/8000000
吉林卫视,http://lzoq.hk3c.ml/daili/?id=jlwshd8m/8000000
山东卫视,http://lzoq.hk3c.ml/daili/?id=sdws8m/8000000
江西卫视,http://lzoq.hk3c.ml/daili/?id=jxws8m/8000000
河南卫视,http://lzoq.hk3c.ml/daili/?id=hnwshd8m/8000000
河北卫视,http://lzoq.hk3c.ml/daili/?id=hbwshd8m/8000000
甘肃卫视,http://lzoq.hk3c.ml/daili/?id=gswshd8m/8000000
重庆卫视,http://lzoq.hk3c.ml/daili/?id=cqws8m/8000000
东南卫视,http://lzoq.hk3c.ml/daili/?id=dnwshd8m/8000000
云南卫视,http://lzoq.hk3c.ml/daili/?id=ynwshd8m/8000000
贵州卫视,http://lzoq.hk3c.ml/daili/?id=gzwshd8m/8000000
海南卫视,http://lzoq.hk3c.ml/daili/?id=hainanwshd8m/8000000

电影轮播,#genre#
电影_星爷,https://live.metshop.top/huya/11342412
电影_英叔,https://live.metshop.top/huya/11342421
电影_发哥,https://live.metshop.top/huya/11342387
电影_成龙,https://live.metshop.top/huya/11342386
电影_王晶,https://live.metshop.top/huya/11602058
电影_沈腾,https://live.metshop.top/huya/11601968
电影_黄渤,https://live.metshop.top/huya/11352876
电影_强森,https://live.metshop.top/huya/21059581
电影_漫威,https://live.metshop.top/huya/11602034
电影_宇宙,https://live.metshop.top/huya/11342428
电影_怪兽,https://live.metshop.top/huya/21059577
电影_武侠,https://live.metshop.top/huya/11342427
电影_警匪,https://live.metshop.top/huya/11352886
电影_罪犯,https://live.metshop.top/huya/11352962
电影_枪战,https://live.metshop.top/huya/21059579
电影_海盗,https://live.metshop.top/huya/21059595
电影_赛车,https://live.metshop.top/huya/11279247
电影_推荐,https://live.metshop.top/huya/11602041
电影_救援,https://live.metshop.top/huya/21059594
电影_热血,https://live.metshop.top/huya/11352934
电影_盗墓,https://live.metshop.top/huya/21059552
电影_贺岁,https://live.metshop.top/huya/11601971
电影_玄幻,https://live.metshop.top/huya/11342414
电影_谍战,https://live.metshop.top/huya/21059585
电影_战争,https://live.metshop.top/huya/21059592
电影_喜剧,https://live.metshop.top/huya/11352877
电影_港片,https://live.metshop.top/huya/11602043
电影_国产,https://live.metshop.top/huya/11352973
电影_周星星,https://live.metshop.top/huya/11336587
电影_李连杰,https://live.metshop.top/huya/11342390
电影_洪金宝,https://live.metshop.top/huya/11279251
电影_梁家辉,https://live.metshop.top/huya/11342429
电影_许冠英,https://live.metshop.top/huya/11601972
电影_刘德华,https://live.metshop.top/huya/11342424
电影_斯坦森,https://live.metshop.top/huya/21059588
电影_小鬼头,https://live.metshop.top/huya/11352963
电影_八点档,https://live.metshop.top/huya/880261
电影_蜘蛛侠,https://live.metshop.top/huya/21059599
电影_贺岁片,https://live.metshop.top/huya/11601986
电影_功夫片,https://live.metshop.top/huya/11352941
电影_黑帮片,https://live.metshop.top/huya/11336719
电影_丧尸片,https://live.metshop.top/huya/21059578
电影_灾难片,https://live.metshop.top/huya/11602075
电影_谍战片,https://live.metshop.top/huya/21059587
电影_战争片,https://live.metshop.top/huya/21059574
电影_犯罪片,https://live.metshop.top/huya/11352974
电影_古装片,https://live.metshop.top/huya/11336590
电影_高分动作,https://live.metshop.top/huya/11352884
电影_动作电影,https://live.metshop.top/huya/11602077
电影_搞笑喜剧,https://live.metshop.top/huya/11342423
